contract_id,event_date,event_type
29516,2021-03-28 16:24:30,Добавление в Обращались с номеров
29516,2021-03-28 16:27:41,Обращение в службу заботы о клиентах
29516,2021-03-28 16:29:56,Выключение IPTV-пакета
29516,2021-03-28 16:29:56,Включение IPTV-пакета
29516,2021-03-28 16:31:17,"Включение услуги ""Ограничение функций ТВ"""
29516,2021-03-28 16:35:04,Обращение в службу заботы о клиентах
29516,2021-03-28 16:37:26,Обращение в службу заботы о клиентах
29516,2021-04-01 18:06:15,Обращение в службу заботы о клиентах
29516,2021-04-06 17:32:09,Отключение услуги Аренда ТВ-приставки
29516,2021-04-06 17:32:10,Отключение услуги Аренда ТВ-приставки
29516,2021-04-06 17:32:13,Оборудование
29516,2021-04-06 17:32:15,Оборудование
29516,2021-04-06 17:32:31,Обращение в службу заботы о клиентах
29516,2021-04-07 15:37:26,Изменение истории
29516,2021-04-07 15:37:55,Продление действия тарифа
27462,2021-04-05 16:03:58,Добавление в Обращались с номеров
27462,2021-04-05 16:11:35,Обращение в службу заботы о клиентах
27462,2021-04-05 16:39:01,Обращение в службу заботы о клиентах
27462,2021-04-06 15:37:46,Обращение в службу заботы о клиентах
27462,2021-04-07 17:37:54,Изменение истории
27462,2021-04-07 17:38:20,Продление действия тарифа
4869,2021-03-18 13:49:46,Обращение в службу заботы о клиентах
4869,2021-03-18 13:50:22,Предложение IPTV
33846,2021-04-03 19:09:26,Добавление в Обращались с номеров
33846,2021-04-08 10:59:48,Отключение услуги Аренда ТВ-приставки
33846,2021-04-08 10:59:53,Оборудование
30031,2021-03-29 16:25:16,Активация точки подключения на сутки
34201,2021-04-09 9:41:24,Смена тарифа
31953,2021-03-18 9:01:42,Обращение в службу заботы о клиентах
31953,2021-03-18 9:01:51,Предложение IPTV
6799,2021-03-12 18:06:25,Добавление в Обращались с номеров
6799,2021-03-19 11:36:12,Обращение в службу заботы о клиентах
6799,2021-03-19 12:18:51,Удаление из Обращались с номеров
34348,2021-03-23 19:21:08,Смена пароля
