contract_id,event_date,name
33846,2021-03-19 15:12:52,Информер ВК. Показ
33846,2021-03-27 18:46:04,Информер ВК. Показ
33846,2021-04-03 18:55:22,Информер ВК. Показ
22754,2021-03-09 19:40:53,Включение интернета на 20 минут
22754,2021-03-09 19:40:53,Включение интернета на 20 минут
36009,2021-03-18 9:58:52,Включение интернета на 20 минут
36009,2021-04-12 20:41:11,Включение интернета на 20 минут
23100,2021-03-25 22:37:57,Показ информатора об изменении уведомлений через ВК платформу
23100,2021-03-25 23:39:54,Показ информатора об изменении уведомлений через ВК платформу
23100,2021-03-27 12:15:01,Показ информатора об изменении уведомлений через ВК платформу
25266,2021-03-17 15:00:32,Информер ВК. Показ
25266,2021-03-17 15:02:17,Информер ВК. Показ
25266,2021-04-21 19:32:43,Информер ВК. Показ
25266,2021-04-21 19:32:48,Информер ВК. Показ
25266,2021-04-21 19:33:45,Информер ВК. Показ
34670,2021-04-10 21:39:07,Информер ВК. Показ
34670,2021-04-10 21:39:38,Гарантированный платеж за деньги
37614,2021-03-04 5:35:33,Гарантированный платеж за деньги
37614,2021-03-09 7:43:01,Гарантированный платеж за деньги
37614,2021-03-17 21:17:18,Гарантированный платеж за деньги
37614,2021-03-27 5:50:03,Гарантированный платеж за деньги
37614,2021-04-02 6:08:04,Гарантированный платеж за деньги
37614,2021-04-14 7:48:10,Гарантированный платеж за деньги
21123,2021-03-18 17:51:44,Информер ВК. Показ
21123,2021-03-18 17:52:28,Информер ВК. Показ
21123,2021-03-18 17:54:15,Информер ВК. Показ
38328,2021-03-01 11:29:44,Информер ВК. Показ
38328,2021-03-01 11:30:10,Гарантированный платеж за деньги
38328,2021-03-04 12:31:01,Включение интернета на 20 минут
38328,2021-03-04 12:39:16,Просмотр раздела Тайный покупатель
38328,2021-03-13 16:01:31,Включение интернета на 20 минут
38328,2021-03-13 16:01:32,Включение интернета на 20 минут
38328,2021-03-13 16:02:11,Гарантированный платеж за деньги
38328,2021-03-21 16:52:56,Включение интернета на 20 минут
22893,2021-04-10 15:15:53,Включение интернета на 20 минут с IVR
34348,2021-03-23 19:23:32,Информер ВК. Показ
34348,2021-03-23 19:24:17,Информер ВК. Показ
34348,2021-03-23 19:27:06,Просмотр раздела Тайный покупатель
34348,2021-03-23 19:27:49,Информер ВК. Показ
40463,2021-03-30 21:26:47,Гарантированный платеж за деньги
40463,2021-04-02 23:42:25,Включение интернета на 20 минут
40463,2021-04-02 23:42:26,Включение интернета на 20 минут
40463,2021-04-05 13:01:17,Включение интернета на 20 минут с IVR
40463,2021-04-09 14:45:23,Гарантированный платеж за деньги
41817,2021-03-04 22:29:32,Включение интернета на 20 минут
41817,2021-03-04 22:29:32,Включение интернета на 20 минут
41817,2021-03-08 21:46:16,Включение интернета на 20 минут
41817,2021-03-08 21:46:17,Включение интернета на 20 минут
41817,2021-03-13 20:06:14,Включение интернета на 20 минут
41817,2021-03-14 21:56:41,Включение интернета на 20 минут
41817,2021-03-14 21:56:42,Включение интернета на 20 минут
41817,2021-03-18 15:01:37,Включение интернета на 20 минут
41817,2021-03-19 7:58:45,Гарантированный платеж за деньги
41817,2021-03-22 8:21:18,Включение интернета на 20 минут
41817,2021-03-22 8:21:19,Включение интернета на 20 минут
41817,2021-03-24 8:42:28,Включение интернета на 20 минут
41817,2021-03-29 7:57:54,Гарантированный платеж за деньги
41817,2021-03-29 7:58:07,Включение интернета на 20 минут
41817,2021-04-04 9:11:24,Включение интернета на 20 минут
41817,2021-04-04 9:11:24,Включение интернета на 20 минут
41817,2021-04-07 7:23:17,Включение интернета на 20 минут
41817,2021-04-07 7:23:18,Включение интернета на 20 минут
41817,2021-04-09 19:08:38,Включение интернета на 20 минут
41817,2021-04-09 19:08:39,Включение интернета на 20 минут
41817,2021-04-09 19:36:43,Гарантированный платеж за деньги
41817,2021-04-12 19:47:14,Включение интернета на 20 минут
41817,2021-04-14 8:39:28,Включение интернета на 20 минут
41817,2021-04-14 8:39:29,Включение интернета на 20 минут
41817,2021-04-15 10:19:43,Включение интернета на 20 минут
41817,2021-04-15 10:19:44,Включение интернета на 20 минут
41817,2021-04-16 15:47:41,Включение интернета на 20 минут
41817,2021-04-16 15:47:42,Включение интернета на 20 минут
41817,2021-04-17 10:20:25,Гарантированный платеж за деньги
41817,2021-04-20 14:59:09,Включение интернета на 20 минут
41817,2021-04-20 14:59:09,Включение интернета на 20 минут
41817,2021-04-22 20:53:52,Гарантированный платеж за деньги
41817,2021-04-24 15:45:49,Информер ВК. Показ
41817,2021-04-24 15:57:53,Информер ВК. Показ
41817,2021-04-24 15:58:47,Информер ВК. Показ
23577,2021-04-19 20:53:31,Гарантированный платеж за деньги
44333,2021-03-01 15:07:21,Включение интернета на 20 минут
44333,2021-03-02 15:19:43,Включение интернета на 20 минут
44333,2021-03-10 18:44:25,Информер ВК. Показ
44333,2021-03-10 18:49:48,Информер ВК. Показ
44333,2021-03-10 18:50:24,Информер ВК. Показ
44333,2021-03-19 19:50:47,Включение интернета на 20 минут
44333,2021-04-01 19:28:24,Включение интернета на 20 минут
46256,2021-03-27 21:53:07,Включение интернета на 20 минут
46256,2021-03-27 21:56:36,Информер ВК. Показ
46256,2021-03-27 21:58:39,Информер ВК. Показ
46256,2021-03-27 21:59:12,Гарантированный платеж за деньги
32337,2021-03-17 20:36:05,Информер ВК. Показ
32337,2021-03-17 20:36:50,Включение интернета на 20 минут
32337,2021-03-18 19:02:47,Информер ВК. Показ
32337,2021-03-18 19:04:07,Информер ВК. Показ
32337,2021-04-04 18:15:42,Турбокнопка платно (1 час)
23389,2021-04-01 9:45:14,Включение интернета на 20 минут
22786,2021-03-26 22:49:59,Информер ВК. Показ
22786,2021-03-26 22:50:46,Гарантированный платеж за деньги
22786,2021-03-28 22:59:38,Информер ВК. Показ
22786,2021-03-29 21:37:16,Информер ВК. Показ
22786,2021-03-29 21:39:24,Включение автоматической активации ГП
49251,2021-04-10 21:43:39,Информер ВК. Показ
49251,2021-04-10 21:43:49,Информер ВК. Показ
49251,2021-04-10 21:44:59,Информер ВК. Показ
49622,2021-04-10 0:02:18,Информер ВК. Показ
49622,2021-04-10 0:04:23,Информер ВК. Показ
49622,2021-04-14 6:47:42,Информер ВК. Показ
49622,2021-04-14 6:49:26,Отключение услуги Автоплатёж
51476,2021-03-07 1:53:31,Включение интернета на 20 минут
51476,2021-03-07 1:53:31,Включение интернета на 20 минут
51476,2021-03-08 15:20:29,Включение интернета на 20 минут
51476,2021-03-08 15:20:30,Включение интернета на 20 минут
51476,2021-04-02 21:51:35,Включение интернета на 20 минут
51476,2021-04-02 21:51:35,Включение интернета на 20 минут
51999,2021-04-21 23:06:17,Включение интернета на 20 минут с IVR
52485,2021-03-15 10:17:20,Просмотр раздела Тайный покупатель
21960,2021-03-21 18:57:26,Информер ВК. Показ
21960,2021-03-21 18:57:33,Информер ВК. Показ
21960,2021-03-21 18:57:35,Информер ВК. Показ
24788,2021-03-11 9:31:03,Включение интернета на 20 минут с IVR
24788,2021-04-11 13:34:13,Включение интернета на 20 минут
24788,2021-04-11 13:34:14,Включение интернета на 20 минут
24788,2021-04-11 13:43:53,Гарантированный платеж за деньги
24788,2021-04-14 23:03:05,Гарантированный платеж за деньги
24788,2021-04-18 15:18:42,Включение интернета на 20 минут с IVR
32668,2021-03-09 18:36:58,Включение интернета на 20 минут
32668,2021-03-09 18:36:58,Включение интернета на 20 минут
32668,2021-03-23 16:45:16,Информер ВК. Показ
32668,2021-03-23 16:45:21,Информер ВК. Показ
32668,2021-03-23 16:47:16,Информер ВК. Показ
55054,2021-03-06 23:08:49,Включение интернета на 20 минут
55054,2021-03-07 10:53:44,Гарантированный платеж за деньги
55054,2021-03-10 17:40:28,Включение интернета на 20 минут
4020,2021-04-24 13:27:38,Информер ВК. Показ
4020,2021-04-24 13:29:02,Информер ВК. Показ
4020,2021-04-25 20:00:56,Включение интернета на 20 минут с IVR
56314,2021-03-19 16:22:38,Включение интернета на 20 минут
56314,2021-03-19 16:22:38,Включение интернета на 20 минут
6138,2021-03-28 14:28:51,Включение интернета на 20 минут
6138,2021-03-28 14:28:52,Включение интернета на 20 минут
6138,2021-03-28 14:40:44,Информер ВК. Показ
6138,2021-03-28 14:41:55,Информер ВК. Показ
6138,2021-03-28 14:42:31,Информер ВК. Закрытие
57458,2021-03-01 15:37:01,Информер ВК. Показ
57458,2021-03-04 20:05:31,Информер ВК. Показ
57458,2021-03-04 20:05:41,Гарантированный платеж за деньги
57458,2021-03-08 13:28:17,Информер ВК. Показ
57458,2021-03-08 13:28:24,Гарантированный платеж за деньги
57458,2021-04-04 23:58:25,Включение интернета на 20 минут
60658,2021-03-21 9:41:25,Информер ВК. Показ
60658,2021-03-23 14:09:58,Информер ВК. Показ
60800,2021-03-04 19:42:25,Гарантированный платеж за деньги
60800,2021-03-07 20:16:00,Виртуальное бессмертие. Включение
60800,2021-03-07 20:16:25,Виртуальное бессмертие. Использование
60800,2021-03-07 21:23:48,Без границ бесплатно. Отключение
60800,2021-03-07 21:26:43,Виртуальное бессмертие. Использование
60800,2021-03-16 18:12:24,Включение интернета на 20 минут
60800,2021-03-30 11:42:47,Информер ВК. Показ
60800,2021-03-30 11:42:58,Гарантированный платеж за деньги
60800,2021-04-01 11:38:48,Информер ВК. Показ
60800,2021-04-01 23:35:53,Информер ВК. Показ
60800,2021-04-02 13:00:29,Виртуальное бессмертие. Использование
60800,2021-04-02 14:18:14,Виртуальное бессмертие. Использование
60800,2021-04-02 17:10:01,Виртуальное бессмертие. Использование
61566,2021-03-11 13:55:30,Включение интернета на 20 минут
62114,2021-03-18 17:03:42,Включение интернета на 20 минут
62903,2021-03-03 18:57:57,Включение интернета на 20 минут с IVR
62903,2021-03-11 18:21:05,Информер ВК. Показ
63248,2021-03-10 9:13:05,Информер ВК. Показ
63248,2021-03-11 10:19:29,Информер ВК. Показ
63421,2021-04-19 17:21:55,Гарантированный платеж за деньги
64012,2021-03-19 18:46:09,Включение интернета на 20 минут
64235,2021-04-25 15:44:30,Гарантированный платеж за деньги
64374,2021-03-17 8:24:16,Включение интернета на 20 минут
64374,2021-03-17 8:24:17,Включение интернета на 20 минут
64374,2021-03-17 8:25:25,Гарантированный платеж за деньги
64374,2021-03-17 8:29:23,Просмотр раздела Тайный покупатель
64374,2021-03-17 8:30:35,Информер ВК. Показ
64374,2021-03-17 8:32:24,Информер ВК. Показ
64374,2021-03-17 8:40:36,Информер ВК. Показ
61997,2021-04-09 16:19:42,Включение интернета на 20 минут
65485,2021-03-09 10:41:23,Включение интернета на 20 минут
63278,2021-03-10 19:15:44,Информер ВК. Показ
63278,2021-03-10 19:16:43,Гарантированный платеж за деньги
63278,2021-04-07 14:18:02,Информер ВК. Показ
63278,2021-04-08 12:44:31,Включение интернета на 20 минут с IVR
66464,2021-03-06 13:31:07,Включение интернета на 20 минут
66464,2021-03-06 13:31:07,Включение интернета на 20 минут
66464,2021-03-06 13:34:13,Информер ВК. Показ
66464,2021-03-06 13:35:12,Информер ВК. Показ
66464,2021-03-06 13:37:35,Информер ВК. Показ
66597,2021-03-30 7:32:53,Гарантированный платеж за деньги
66597,2021-04-02 8:06:09,Включение интернета на 20 минут
66707,2021-03-14 15:05:51,Гарантированный платеж за деньги
48810,2021-03-14 10:19:37,Просмотр раздела Тайный покупатель
48810,2021-03-27 0:47:07,Информер ВК. Показ
48810,2021-04-07 9:46:33,Информер ВК. Показ
48810,2021-04-08 8:02:06,Информер ВК. Показ
55568,2021-04-15 17:13:24,Включение интернета на 20 минут
55568,2021-04-15 17:13:24,Включение интернета на 20 минут
55568,2021-04-16 11:53:58,Информер ВК. Показ
55568,2021-04-16 11:59:10,Информер ВК. Показ
55568,2021-04-16 12:00:03,Информер ВК. Показ
68548,2021-04-05 7:33:17,Гарантированный платеж за деньги
68548,2021-04-21 19:40:58,Включение интернета на 20 минут
69442,2021-03-27 0:09:33,Включение интернета на 20 минут
69442,2021-03-30 21:00:03,Включение интернета на 20 минут
69442,2021-04-04 1:50:18,Включение интернета на 20 минут
69442,2021-04-07 20:57:33,Включение интернета на 20 минут
69442,2021-04-17 23:49:04,Включение интернета на 20 минут
69442,2021-04-23 19:57:42,Включение интернета на 20 минут
69452,2021-03-16 18:46:32,Включение интернета на 20 минут
70065,2021-03-14 18:44:08,Гарантированный платеж за деньги
70065,2021-03-17 21:33:31,Включение интернета на 20 минут
70065,2021-03-17 21:33:31,Включение интернета на 20 минут
70065,2021-04-18 22:59:55,Гарантированный платеж за деньги
70065,2021-04-23 0:50:26,Включение интернета на 20 минут
70065,2021-04-27 23:08:52,Включение интернета на 20 минут
70065,2021-04-27 23:08:53,Включение интернета на 20 минут
70065,2021-04-28 23:15:49,Включение интернета на 20 минут
1436,2021-03-13 9:15:36,Информер ВК. Показ
71924,2021-04-16 12:09:40,Информер ВК. Показ
71984,2021-03-23 14:01:03,Включение интернета на 20 минут
71984,2021-03-25 19:02:42,Информер ВК. Показ
72094,2021-03-13 19:13:16,Информер ВК. Показ
72094,2021-03-13 19:21:05,Информер ВК. Показ
72094,2021-03-13 19:24:28,Информер ВК. Показ
72094,2021-03-19 23:50:46,Включение интернета на 20 минут
72458,2021-03-26 8:40:47,Информер ВК. Показ
72458,2021-03-26 8:42:23,Информер ВК. Показ
72458,2021-04-09 15:45:35,Информер ВК. Показ
74033,2021-03-10 19:49:35,Принято заявление и доп. соглашение по переезду
74033,2021-03-10 19:49:39,Информер ВК. Показ
75056,2021-03-04 19:26:32,Гарантированный платеж за деньги
2853,2021-03-26 16:24:54,Информер ВК. Показ
2853,2021-03-26 16:25:12,Информер ВК. Показ
